Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Source,Book
Interference Cancellation in Multiple D2D Underlaying LTE Cellular Networks,"Mahari B Tsegay, Kalpana Dhaka, Ratnajit Bhattacharjee",2020/9/28,,,,IEEE,"With the advancement in technology, data-based applications have gained immense popularity as a necessity in our day-to-day life. In order to connect the growing number of wireless devices, resources are reused in the cellular system. We consider underlay device-to-device (D2D) communications where the resources assigned for cellular downlink (DL) or uplink (UL) transmissions are shared with D2D users. The main challenge in allowing links using the same resources for the cellular DL or UL transmissions is the mutual interference between the D2D and cellular links. In order to manage the mutual interference, performance for an interference cancellation (IC) strategy is presented which considers orthogonal precoding vectors for links sharing the same resources. This IC strategy improves the outage probability and the overall capacity of cellular and D2D UEs sharing the same resources. Analytical results …",1,"Interference Cancellation in Multiple D2D Underlaying LTE Cellular Networks
MB Tsegay, K Dhaka, R Bhattacharjee - 2020 4th International Conference on Computer …, 2020
Cited by 1 Related articles",{'2022': 1},1-5,"2020 4th International Conference on Computer, Communication and Signal Processing (ICCCSP)",,
Particle-in-cell simulation and analysis of 28-vane megawatt-class pulsed power coaxial magnetron in X-band,"Mohit Kumar Joshi, Sandeep Kumar Vyas, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2020/4/23,IEEE Transactions on Plasma Science,48.0,6.0,IEEE,"This article presents the design and analysis of a 28-vane megawatt-class pulsed power coaxial magnetron operating in X-band for medical linear accelerator (LINAC) applications. The systematic design procedure of the coaxial magnetron is presented. The proposed coaxial magnetron is analyzed using particle-in-cell (PIC) simulations. The output is taken from the standard WR112 waveguide through a rectangular slot in the outer wall of the coaxial cavity. The maximum total efficiency of 62.04% is obtained at 9.2987 GHz, having a 2.12-MW peak output power for stable π-mode operation. The π-mode operation is determined by 14 spokes of electrons in the PIC simulation. Electronic efficiency and circuit efficiency of the designed coaxial magnetron are obtained as 73.86% and 84%, respectively. The output peak power can be enhanced by optimizing the applied magnetic field in the operating region of π-mode …",5,"Particle-in-cell simulation and analysis of 28-vane megawatt-class pulsed power coaxial magnetron in X-band
MK Joshi, SK Vyas, T Tiwari, R Bhattacharjee - IEEE Transactions on Plasma Science, 2020
Cited by 5 Related articles All 2 versions","{'2020': 1, '2021': 2, '2022': 1, '2023': 1}",1886-1893,,,
PACTA: A portfolio theory based approach for QoS aware resource allocation in mmWave networks,"Arijit Bhattacharjee, Ratnajit Bhattacharjee, Sanjay Kumar Bose",2020/4/6,IEEE Communications Letters,24.0,8.0,IEEE,"An ultra-dense millimetre wave (mmWave) access network operating on IEEE 802.15.3c based simultaneously operated piconet (SOP) architecture offers an effective way to operate high data-rate IoT-networks while overcoming the challenges of beam-blockage and high propagation loss which characterize these systems. The SOP architecture permits coexistence of multiple mmWave piconets by allowing a piconet controller (PNC) to share its channel time with multiple PNCs, using periodically updated private channel time allocations (p-CTAs). However, due to beam blockage, the p-CTA demands within the piconets change dynamically and often cause a mismatch between the demanded and the assigned p-CTAs leading to suboptimal resource allocation and wastage of network resources. To overcome these problems, this letter proposes a QoS aware risk-sensitive approach for p-CTA assignment. It uses …",2,"PACTA: A portfolio theory based approach for QoS aware resource allocation in mmWave networks
A Bhattacharjee, R Bhattacharjee, SK Bose - IEEE Communications Letters, 2020
Cited by 2 Related articles",{'2021': 2},1794-1798,,,
Pattern shifting and size control in offset reflector Antennas with microstrip array as matched feed,"Kaushik Debbarma, Ratnajit Bhattacharjee",2020/3/15,,,,IEEE,"In this paper, details of a dual-layered microstrip based matched feed array for an offset reflector are presented. The top layer of the proposed feed consists of 9 circular microstrip antennas operating in TM 11 mode arranged in a centered circular array configuration. The second layer contains a circular microstrip antenna operating in TM 21 mode and located below the central element of the circular array. The excitation ratio between the higher order mode and dominant mode patches is varied to achieve a low cross-polar level at the asymmetric plane by using the concept of conjugate field matching. The effect of circular array radius on the reflector pattern of the offset reflector with focal length to diameter (F/D) ratio equal to 0.7 is investigated to find the optimum radius of the circular array. An investigation has been done to show that by exciting selective array antenna elements, beamwidth and beam shift …",1,"Pattern shifting and size control in offset reflector Antennas with microstrip array as matched feed
K Debbarma, R Bhattacharjee - 2020 14th European Conference on Antennas and …, 2020
Cited by 1 Related articles All 2 versions",{'2021': 1},1-5,2020 14th European Conference on Antennas and Propagation (EuCAP),,
Impedance Bandwidth Performance of TM10ẟ Mode in Equilateral Triangular DRA,"P Anoop, Ratnajit Bhattacharjee",2020/3/15,,,,IEEE,"In this paper a method for calculating the impedance bandwidth around the resonance frequency of TM mode excited inside an Equilateral Triangular Dielectric Resonator Antenna (ETDRA) is reported. The method utilizes the expression of quality factor factor) of TM mode, which is obtained through curve fitting approximation technique. Q-factor is a function of aspect ratio and the material dielectric constant . The bandwidth performances of such modes around the resonance frequencies for different degrees of impedance matching are discussed. The proposed method for calculating the impedance bandwidth is also validated by comparing with the practical bandwidth of the ETDRAs reported in the literature.",0,"Impedance Bandwidth Performance of TM 10ẟ Mode in Equilateral Triangular DRA
P Anoop, R Bhattacharjee - 2020 14th European Conference on Antennas and …, 2020
Related articles",{},1-5,2020 14th European Conference on Antennas and Propagation (EuCAP),,
A new approach for high-power coaxial magnetron using stacked anode resonators,"Mohit Kumar Joshi, Sandeep Kumar Vyas, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2020/2/28,IEEE Transactions on Electron Devices,67.0,4.0,IEEE,A novel design of the X-band megawatt-class coaxial magnetron using multiple-anode resonators placed in a stacked configuration is presented. The proposed design enhances the output power of a coaxial magnetron substantially without requiring external circuitry for power combining. The coaxial magnetron design is presented with two different cathode arrangements: one with separate cathodes and the other with connected cathodes. This article presents a new way for the generation of high-power microwaves by combining powers generated by multiple-anode resonators within a coaxial magnetron itself. The proposed coaxial magnetron is analyzed using the particle-in-cell (PIC) simulations. The output power of double-anode resonator magnetron is found to increase about 2.73 times compared with the coaxial magnetron with a single-anode resonator. The peak output power of 5.78 MW with 49.4 …,7,"A new approach for high-power coaxial magnetron using stacked anode resonators
MK Joshi, SK Vyas, T Tiwari, R Bhattacharjee - IEEE Transactions on Electron Devices, 2020
Cited by 7 Related articles All 2 versions","{'2021': 3, '2022': 3, '2023': 1}",1808-1813,,,
Multiphysics and Multipactor Analyses of TE022-Mode High-Power X-Band RF Window,"Mohit Kumar Joshi, Narugopal Nayek, Tapeshwar Tiwari, Jan Pidanic, Zdenek Nemec, Ratnajit Bhattacharjee",2020/2/19,IEEE Microwave and Wireless Components Letters,30.0,3.0,IEEE,"This letter presents the design of an overmoded X-band RF window for use in high-power microwave tubes, such as klystron, magnetron, and linear accelerator (LINAC). The cylindrical section of the window containing dielectric barrier operates in the TE 022 mode. Conversion from TE 10 mode to TE 022 mode is achieved using four rectangular slots made on the narrow walls of the rectangular waveguide sections. The simulation results for the proposed design in CST and HFSS are in good agreement. The return loss, insertion loss, and bandwidth are obtained as 52.76 dB, 0.06 dB, and 41.4 MHz, respectively, at 9.3 GHz. Coupled electromagnetic, thermal, and structural simulations are performed to study the multiphysics performance of the RF window. The multipactor analysis is carried out in SPARK3D to determine the multipactor threshold. The proposed TE 022 mode RF window can operate safely at a 20 …",5,"Multiphysics and multipactor analyses of TE 022-mode high-power X-band RF window
MK Joshi, N Nayek, T Tiwari, J Pidanic, Z Nemec… - IEEE Microwave and Wireless Components Letters, 2020
Cited by 5 Related articles",{},272-275,,,
Design and Analysis of Overmoded RF Window for High-Power Applications in  -Band,"Mohit Kumar Joshi, Narugopal Nayek, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2019/12/13,IEEE Transactions on Plasma Science,48.0,1.0,IEEE,"This article presents the design and analysis of overmoded RF window for megawatt-class pulsed coaxial magnetron operating in X-band and other high-power systems such as linear accelerator (LINAC) and devices such as gyrotron and klystron. Three ingenious designs of RF windows are proposed based on the mode excitation techniques. Design 1 operates in TE 012 -type mode (mixed with TE 113 and TE 213 ), Design 2 in TE 012 -type mode (mixed with TE 312 ), and Design 3 in TE 014 type mode. Mixed-mode operation broadens the bandwidth of the RF window compared to single-mode operation. RF windows are simulated in CST and return losses are obtained as 55.04, 51.52, and 53.92 dB, and insertion losses as 0.054, 0.07, 0.194 dB, respectively. Return losses and insertion losses of the proposed designs are verified in HFSS, and results are in good agreement with the results obtained from CST …",6,"Design and Analysis of Overmoded RF Window for High-Power Applications in $ X $-Band
MK Joshi, N Nayek, T Tiwari, R Bhattacharjee - IEEE Transactions on Plasma Science, 2019
Cited by 6 Related articles All 2 versions",{},127-132,,,
H-plane loaded sine waveguide TWT in G-band,"Narugopal Nayek, Ramesh Sonkar, Mohit Kr Joshi, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2019/12/10,,,,IEEE,"In this paper, a G-band sine waveguide travelling wave tube (SWGTWT) is designed. Sinusoidal H-plane loading is incorporated to enhance the interaction impedance of the structure. Various cold circuit parameters are estimated by analyzing a single period of the structure with periodic boundary condition. Input and output coupler are designed to minimize the reflection from the structure. Particle-in-cell (PIC) simulation is carried out to compute beam wave interaction. The simulation predicts more than 58 W of output power at 220 GHz. The gain and electronic efficiency are estimated to be 31.1 dB and 3.27%, respectively",3,"H-plane loaded sine waveguide TWT in G-band
N Nayek, R Sonkar, MK Joshi, T Tiwari… - 2019 IEEE Asia-Pacific Microwave Conference (APMC), 2019
Cited by 3 Related articles","{'2021': 2, '2022': 1}",1250-1252,2019 IEEE Asia-Pacific Microwave Conference (APMC),,
Microstrip patch antenna feed for offset reflector antenna for dual band application,"Kaushik Debbarma, Ratnajit Bhattacharjee",2019/12,International Journal of RF and Microwave Computer‐Aided Engineering,29.0,12.0,"John Wiley & Sons, Inc.","In this article, details of a dual band microstrip patch antenna (MPA) array feed for an offset reflector antenna is presented. The main objective of the proposed structure is to achieve low cross‐polarization at Φ = 90° plane in the reflector pattern. Low cross‐polar levels in the reflector pattern are achieved by illuminating the reflector with fields of the proposed dual band feed structure. A centered circular array as the dual band feed structure is proposed in which the central radiating element is a dual mode circular MPA operating at 6 GHz and the surrounding circular ring of eight circular MPA elements operating at 4 GHz in the dominant mode. The dual mode central antenna uses the concept of conjugate field matching for cross‐polarization reduction. TM21 mode is excited at an appropriate ratio with the TM11 mode to achieve the proper field matching at 6 GHz. The radius of the surrounding circular array is varied …",11,"Microstrip patch antenna feed for offset reflector antenna for dual band application
K Debbarma, R Bhattacharjee - International Journal of RF and Microwave Computer …, 2019
Cited by 11 Related articles All 2 versions","{'2020': 2, '2021': 2, '2022': 6, '2023': 1}",e21999,,,
Matched feeds for offset reflector antenna using circular microstrip patch antenna,"Kaushik Debbarma, Ratnajit Bhattacharjee",2019/11,International Journal of RF and Microwave Computer‐Aided Engineering,29.0,11.0,"John Wiley & Sons, Inc.","This article presents two designs of matched feed for an offset fed reflector. Circular microstrip patch antennas are used in the proposed designs. Both the matched feeds achieve conjugate field matching by generating TM21 mode at an appropriate ratio to the fundamental TM11 mode. The first matched feed generates the required dual mode field distributions using a dual layer stacked patch antenna. The second matched feed is a novel design using centered circular array with the central element generating the required TM21 mode and the surrounding circular ring antenna elements operating in the TM11 mode. Both the designs are studied analytically using cavity model and are implemented in High frequency System Simulator (HFSS) and Computer Simulation Technology (CST). The matched feed designs are investigated for an offset reflector with the projected diameter, D = 50λ, focal length, F = 30λ and …",3,"Matched feeds for offset reflector antenna using circular microstrip patch antenna
K Debbarma, R Bhattacharjee - International Journal of RF and Microwave Computer …, 2019
Cited by 3 Related articles All 2 versions","{'2020': 1, '2021': 2}",e21909,,,
Cooperative communication under nonlinear energy harvesting model and interference signal,"Binod Prasad, Ratnajit Bhattacharjee, Sanjay K Bose",2019/10/17,,,,IEEE,"In this paper, we consider a simple relay network consisting of a source, an energy constrained decode-and-forward (DF) relay and a destination. The relay is assumed to harvest energy from radio frequency (RF) signals with a time splitting (TS) based energy harvesting (EH) architecture. The relay harvests energy from the source signal as well as from the interfering RF signal. A continuous time energy harvesting method is used where the relay harvests energy for a fraction of the total block time and the remaining time is used for information transmission. The harvested energy, in case of a linear EH model, increases linearly with increase in input power whereas in case of a nonlinear EH model it attains a maximum value and then gives diminishing returns with further increments in the input power. Therefore, the EH efficiency exhibits nonlinearity due to varying conversion efficiency for different input power. In this …",1,"Cooperative communication under nonlinear energy harvesting model and interference signal
B Prasad, R Bhattacharjee, SK Bose - TENCON 2019-2019 IEEE Region 10 Conference …, 2019
Cited by 1 Related articles",{'2021': 1},1975-1980,TENCON 2019-2019 IEEE Region 10 Conference (TENCON),,
A Chirp Communication System Using SAW-Chirp Devices for Multibit Symbol Transmission,"Arijit Roy, Harshal B Nemade, Ratnajit Bhattacharjee",2019/10/17,,,,IEEE,"Linear up-chirp signal and the corresponding down-chirp signal covers the same bandwidth and use of both the chirps simultaneously requires no additional bandwidth. Using the property of frequency variation of the chirp signal, in this paper, a data modulation technique is proposed to increase the data rate and the design a chirp communication system is presented to transmit 3-bit symbol using chirp signals. The modulation and demodulation of chirp signals are performed using surface acoustic wave (SAW) devices which greatly simplify the system complexity. Design of SAW-chirp devices to perform the proposed modulation and demodulation processes is also presented. Symbol error rate (SER) performance of the proposed system is analyzed in additive white Gaussian noise (AWGN) and Rayleigh fading channels, and its benefit over the available SAW-chirp communication systems is also outlined.",0,"A Chirp Communication System Using SAW-Chirp Devices for Multibit Symbol Transmission
A Roy, HB Nemade, R Bhattacharjee - TENCON 2019-2019 IEEE Region 10 Conference …, 2019
Related articles",{},1466-1471,TENCON 2019-2019 IEEE Region 10 Conference (TENCON),,
Investigation on a new compact wideband rhombic dielectric resonator antenna,"P Anoop, Ratnajit Bhattacharjee",2019/9,International Journal of RF and Microwave Computer‐Aided Engineering,29.0,9.0,"John Wiley & Sons, Inc.","In this article, a new rhombic dielectric resonator antenna (DRA) is proposed. Dominant mode and a few of the higher order modes that are excited in this DRA are identified through eigen mode analysis performed through computer simulation technology (CST) simulation. Empirical formulae for calculating the resonant frequency of these identified modes are developed through curve‐fitting approximation. Feeding techniques and possible ways of exciting some of these modes generated in such DRA are also detailed. Investigations are further carried out to identify appropriate feed positions to achieve broadband operation of such DRA geometry. The radiation patterns at different frequencies and variation of gain within the antenna bandwidth are measured for a fabricated prototype and compared with the simulation results.",1,"Investigation on a new compact wideband rhombic dielectric resonator antenna
P Anoop, R Bhattacharjee - International Journal of RF and Microwave Computer …, 2019
Cited by 1 Related articles",{'2019': 1},e21864,,,
Design of a rectangular waveguide to cylindrical cavity mode launcher for TE011 mode with maximum quality‐factor,"Mohit Kumar Joshi, Ratnajit Bhattacharjee",2019/9,International Journal of RF and Microwave Computer‐Aided Engineering,29.0,9.0,"John Wiley & Sons, Inc.","This article presents the design of a mode launcher for launching TE011 mode in a cylindrical cavity. In the given design, TE011 mode is excited from the top wall of the cylindrical cavity using a rectangular waveguide. This type of top wall excitation of the cavity has been used keeping in view the application of the proposed launcher in coupling analysis of a coaxial magnetron. The proposed design is verified by launching TE011 mode in a cylindrical cavity, which is designed to operate at 9.3 GHz with the maximum quality factor. The value of quality factor obtained analytically is 31 030 and the same is verified by comparing it with simulation results obtained from CST and HFSS. Return loss and insertion loss of the mode launcher are obtained as 40.24 and 0.12 dB at 9.3 GHz, respectively. The frequency tunability of the cavity is also studied by changing the length of the cavity by making the bottom wall movable …",3,"Design of a rectangular waveguide to cylindrical cavity mode launcher for TE011 mode with maximum quality‐factor
MK Joshi, R Bhattacharjee - International Journal of RF and Microwave Computer …, 2019
Cited by 3 Related articles","{'2021': 1, '2022': 2}",e21825,,,
Symmetry chirp modulation waveform design for LEO satellite IoT communication,"Arijit Roy, Harshal B Nemade, Ratnajit Bhattacharjee",2019/8/5,IEEE Communications Letters,23.0,10.0,IEEE,"Interconnectivity between systems through Internet of Things (IoT) is gaining popularity around the world. Application of chirp signal modulation, a key technique for enabling the LoRa (Long Range) communication, for low-earth-orbit (LEO) satellite IoT communication application has been explored recently where symmetry chirp (SC) type waveforms are used for low data rate communication. In this letter, we analyze the cross-correlation performance of SC waveforms for applications in multiuser systems. To improve the overall cross-correlation level between SC waveforms, we propose a new chirp design, namely symmetry chirp with multiple chirp rates (SC-MCR) for LEO satellite communication. Analytical expressions of cross-correlation and autocorrelation for the proposed SC-MCR waveforms are derived. In addition, the design of time domain multiplexed SC-MCR waveforms is presented to improve the system …",13,"Symmetry chirp modulation waveform design for LEO satellite IoT communication
A Roy, HB Nemade, R Bhattacharjee - IEEE Communications Letters, 2019
Cited by 13 Related articles","{'2020': 2, '2021': 4, '2022': 7}",1836-1839,,,
Elimination of Mode Competition in  Mode Gyrotron,"N Nayek, RK Sonkar, R Bhattacharjee",2019/6/17,,,,IEEE,"In this paper, a technique has been devised to reduce the effect of mode competition in TE 0n mode Gyrotron by introducing slots in the inside wall of the cavity. The slots are easily realizable by using wire electro discharge machining in the axial direction of the cavity. A TE 02 mode Gyrotron with power output 18-20 kW at 28 GHz is designed. The applied magnetic field in the present work is set at 1.0385 T whereas minimum value of Start Oscillation Current of TE 02 mode appears at 1.055 T. The TE 02 mode output power stabilized at 20 kW after 580 ns of mode competition with TE 22 neighboring mode. It is observed that proper design of slots eliminates the duration of mode competition significantly without sacrificing the output power. The optimized parameters like depth, thickness and number of the slots are 1 mm, 0.5 mm, and 4 respectively which reduce the duration of mode competition from 580 ns to 300 ns.",1,"Elimination of Mode Competition in $\mathbf {TE} _ {0n} $ Mode Gyrotron
N Nayek, RK Sonkar, R Bhattacharjee - 2019 PhotonIcs & Electromagnetics Research …, 2019
Cited by 1 Related articles",{'2020': 1},3073-3076,2019 PhotonIcs & Electromagnetics Research Symposium-Spring (PIERS-Spring),,
Multiuser PSK-chirp-BOK communication system under co-channel interference,"Arijit Roy, Harshal B Nemade, Ratnajit Bhattacharjee",2019/4/30,IEEE Transactions on Circuits and Systems II: Express Briefs,67.0,3.0,IEEE,"A chirp binary orthogonal keying (BOK) system normally transmits 1 bit per symbol and requires two correlators at the receiver. This brief presents a chirp-BOK system incorporating phase shift keying (PSK) modulation, viz., PSK-chirp-BOK system, to double the transmission rate while using only two correlators. Design of a set of orthogonal chirps is presented to minimize the performance degradation due to non-orthogonality between up-chirps and down-chirps in a PSK-chirp-BOK multiuser system. In an effort to reduce the required total system bandwidth while maintaining the same number of chirps for a multiuser system, a time domain multiplexing of orthogonal chirp sets with filtering using fractional Fourier transform is proposed. Symbol error rate performance of the proposed PSK-chirpBOK system in a multiuser environment under Nakagami-m fading with the effect of co-channel interference is analyzed …",4,"Multiuser PSK-chirp-BOK communication system under co-channel interference
A Roy, HB Nemade, R Bhattacharjee - IEEE Transactions on Circuits and Systems II: Express …, 2019
Cited by 4 Related articles","{'2021': 1, '2022': 2, '2023': 1}",465-469,,,
Design and multipactor analysis of a high power RF window,"Mohit Kumar Joshi, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2019/4/28,,,,IEEE,"This paper presents the design of a high power RF window for X-band megawatt class pulsed coaxial magnetron. In this proposed design, overmoded cavity, with TE 012 like mode (mixed with TE 312 ) is considered instead of conventional pillbox cavity. Frequency domain simulation is carried out in CST and return loss, insertion loss, VSWR are obtained as 51.52 dB, 0.07 dB, and 1.005, respectively at 9.3 GHz. Mixed mode operation makes the bandwidth broad, and 40.8 MHz bandwidth is achieved for VSWR less than 1.05. The multipactor analysis is carried out in SPARK3D, and multipactor threshold is obtained as 16 MW. This makes the window suitable for the operation up to 16 MW peak power at 9.3 GHz.",5,"Design and multipactor analysis of a high power RF window
MK Joshi, T Tiwari, R Bhattacharjee - 2019 International Vacuum Electronics Conference …, 2019
Cited by 5 Related articles",{},1-2,2019 International Vacuum Electronics Conference (IVEC),,
Identification and suppression of slot modes in a coaxial magnetron,"Mohit Kumar Joshi, Sandeep Kumar Vyas, T Tiwari, Jan Pidanic, Zdenek Nemec, Ratnajit Bhattacharjee",2019/4/16,,,,IEEE,This paper presents the details of identification and suppression technique of slot modes in X-band coaxial magnetron. Lower frequency slot mode is more susceptible to interfere with the desired mode of coaxial magnetron. An effective spurious mode suppression technique is proposed for such slot mode. A lossy dielectric ring is placed near the coupling slots inside anode shell. Analysis is carried out in eigenmode solver of CST. Quality factor of the unwanted slot mode is reduced by 98.56% by the proposed mode suppression technique while reducing quality factor of the desired mode by only 11%. Quality factor of the slot mode is obtained as 30 and for the desired mode as 10913 after the mode suppression. Mode suppressor also reduces the electric field strength of fringing field of the slot mode without affecting field strength of the desired mode.,3,"Identification and suppression of slot modes in a coaxial magnetron
MK Joshi, SK Vyas, T Tiwari, J Pidanic, Z Nemec… - 2019 Conference on Microwave Techniques (COMITE), 2019
Cited by 3 Related articles",{'2020': 3},1-5,2019 Conference on Microwave Techniques (COMITE),,
Integration of virtual laboratories: a step toward enhancing e-learning technology,"Sanjay Jyoti Dutta, Ratnajit Bhattacharjee",2019/3/29,,,,IEEE,"Virtual laboratories are an essential part of E-learning because all the students in their institutes may not have sufficient lab facilities. These experiments can be accessed from anywhere and anytime. Therefore, the Ministry of Human Resource Development (MHRD), Govt. of India took an initiative of integration of virtual laboratories under the national mission on Education through Information and Communication Technology (NEM-ICT). The motive of virtual lab integration is to make all the developed projects into an open source repository such that all the lab information is available to a community, students as well as academic institutes, for use and development, to convert all licensed contents into a platform that is independent of any licensed software.",5,"Integration of virtual laboratories: a step toward enhancing e-learning technology
SJ Dutta, R Bhattacharjee - 2019 IEEE 5th International Conference for …, 2019
Cited by 5 Related articles All 2 versions","{'2021': 3, '2022': 2}",1-5,2019 IEEE 5th International Conference for Convergence in Technology (I2CT),,
