Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Source,Book,Conference,Institution
Does preclinical analysis based on static loading underestimate post-surgery stem micromotion in THA as opposed to dynamic gait loading?,"Adeline S Vio War, Neeraj Kumar, Souptick Chanda",2023/2/10,Medical & Biological Engineering & Computing,,,Springer Berlin Heidelberg,"The success of cementless hip stems depends on the primary stability of the implant quantified by the amount of micromotion at the bone-stem interface. Most finite element (FE)–based preclinical studies on post-surgery stem stability rely on static analysis. Hence, the effect of dynamic gait loading on bone-stem relative micromotion remains virtually unexplored. Furthermore, there is a paucity of research on the primary stability of grooved stems as opposed to plain stem design. The primary aim of this FE study was to understand whether transient dynamic gait had any incremental effect on the net micromotion results and to further draw insights into the effects of grooved texture vis-à-vis a plain model on micromotion and proximal load transfer in host bone. Two musculoskeletal loading regimes corresponding to normal walking (NW) and stair climbing (SC) were considered. Although marginally improved load …",0,"Does preclinical analysis based on static loading underestimate post-surgery stem micromotion in THA as opposed to dynamic gait loading?
AS Vio War, N Kumar, S Chanda - Medical & Biological Engineering & Computing, 2023
All 3 versions",{},1-16,,,,
Computational assessment of growth of connective tissues around textured hip stem subjected to daily activities after THA,"Rajdeep Ghosh, Ankan Hazra, Souptick Chanda, Debabrata Chakraborty",2023/2,Medical & Biological Engineering & Computing,61,2,Springer Berlin Heidelberg,"Longer-term stability of uncemented femoral stem depends on ossification at bone-implant interface. Although attempts have been made to assess the amount of bone growth using finite element (FE) analysis in combination with a mechanoregulatory algorithm, there has been little research on tissue differentiation patterns on hip stems with proximal macro-textures. The primary goal of this investigation is to qualitatively compare the formation of connective tissues around a femoral implant with/without macro-textures on its proximal surfaces. This study also predicts formation of different tissue phenotypes and their spatio-temporal distribution around a macro-textured femoral stem under routine activities. Results from the study show that non-textured implants (80 to 94%) encourage fibroplasia compared to that in textured implants (71 to 85.38%) under similar routine activity, which might trigger aseptic loosening of …",0,"Computational assessment of growth of connective tissues around textured hip stem subjected to daily activities after THA
R Ghosh, A Hazra, S Chanda, D Chakraborty - Medical & Biological Engineering & Computing, 2023
Related articles All 4 versions",{},525-540,,,,
Smartphone-Based Natural Environment Electroencephalogram Experimentation-Opportunities and Challenges,"Doli Hazarika, Souptick Chanda, Cota Navin Gupta",2022/12/7,,,,IEEE,"Using a smartphone for Electroencephalogram (EEG) based research in the natural environment is a growing field of study. It brings attention to device portability, participant mobility, and system specifications. This article discusses the most recent developments in the field of EEG investigations using smartphones in natural environments, for healthy and clinical applications. We integrate the current trends in smartphone-based EEG studies, namely experimental paradigms, electrode/hardware compatibility, preprocessing frameworks, classifiers, and software apps. However, smartphone devices have inherent limitations like computational time and algorithm performance. Implementing artifact reduction and classification algorithms together in an android smartphone app is still speculative, and possible solutions are proposed. This review presents a holistic insight into our current understanding and challenges of …",0,"Smartphone-Based Natural Environment Electroencephalogram Experimentation-Opportunities and Challenges
D Hazarika, S Chanda, CN Gupta - 2022 IEEE-EMBS Conference on Biomedical …, 2022",{},370-375,2022 IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES),,,
Application of finite element analysis to tissue differentiation and bone remodelling approaches and their use in design optimization of orthopaedic implants: A review,"Rajdeep Ghosh, Souptick Chanda, Debabrata Chakraborty",2022/10,,38,10,"John Wiley & Sons, Inc.","Post‐operative bone growth and long‐term bone adaptation around the orthopaedic implants are simulated using the mechanoregulation based tissue‐differentiation and adaptive bone remodelling algorithms, respectively. The primary objective of these algorithms was to assess biomechanical feasibility and reliability of orthopaedic implants. This article aims to offer a comprehensive review of the developments in mathematical models of tissue‐differentiation and bone adaptation and their applications in studies involving design optimization of orthopaedic implants over three decades. Despite the different mechanoregulatory models developed, existing literature confirm that none of the models can be highly regarded or completely disregarded over each other. Not much development in mathematical formulations has been observed from the current state of knowledge due to the lack of in vivo studies involving …",2,"Application of finite element analysis to tissue differentiation and bone remodelling approaches and their use in design optimization of orthopaedic implants: A review
R Ghosh, S Chanda, D Chakraborty - International Journal for Numerical Methods in …, 2022
Cited by 2 Related articles All 3 versions","{'2022': 1, '2023': 1}",e3637,International Journal for Numerical Methods in Biomedical Engineering,,,
Expandable pedicle screw may have better fixation than normal pedicle screw: preclinical investigation on instrumented L4-L5 vertebrae based on various physiological movements,"Devismita Sanjay, Jaideep Singh Bhardwaj, Neeraj Kumar, Souptick Chanda",2022/9,Medical & Biological Engineering & Computing,60,9,Springer Berlin Heidelberg,"Lumbar spine fracture is typically treated by means of screw fixation, the primary aim of which is to reduce fracture by achieving bony union such that the spinal anatomy is restored. Pedicle screw fixation has certain advantages over conventional vertebral screws, e.g. 3-column fixation and improved surgical alignment. However, expandable pedicle screws have been reported to impart better anchorage as compared to conventional pedicle screws, both in case of healthy and osteoporotic bone. The clinical studies notwithstanding, there is a paucity of preclinical investigations on expandable pedicle screws used on lumbar vertebrae. By employing anatomically viable FE models, the present study intended to estimate stress–strain fields of a functional spinal unit (FSU) of intact L4-L5 vertebra and to further compare the same with FSUs instrumented with normal and expandable pedicle screws under different …",5,"Expandable pedicle screw may have better fixation than normal pedicle screw: preclinical investigation on instrumented L4-L5 vertebrae based on various physiological movements
D Sanjay, JS Bhardwaj, N Kumar, S Chanda - Medical & Biological Engineering & Computing, 2022
Cited by 5 Related articles All 4 versions","{'2022': 1, '2023': 4}",2501-2519,,,,
A preclinical model of post-surgery secondary bone healing for subtrochanteric femoral fracture based on fuzzy interpretations,"Pratik Nag, Souptick Chanda",2022/7/21,Plos one,17,7,Public Library of Science,"Mechanobiology plays an essential role in secondary bone fracture healing. While the introduction of newer type of plates, e.g. locking plate (LP), is becoming increasingly popular for complex femoral fractures, the conventional technique involving dynamic compression plate (DCP) remains the standard choice. The difference between the two techniques lies primarily in their screw fixation mechanisms. The present study applied 3D dynamic fracture healing scheme modelled on a subtrochanteric femur fracture, regulated by both finite element (FE) analysis and Fuzzy logic control in order to understand the spatio-temporal healing phenomena for both LP and DCP. The study further examined the influence of the two screw fixation mechanisms in determining the comparative progression of fracture healing. The problem was solved iteratively in several healing steps running in loop and accordingly, the local tissue concentrations and material properties were updated. The predicted results accorded well with various previous experimental observations. The study found an initial delay in healing associated with DCP. However, as the healing progressed, there was no significant difference in overall callus modulus. The presented preclinical model may further help predict bone healing for different implantation techniques, and thus can serve as a non-invasive tool for evaluating relative merits of extramedullary plating techniques.",0,"A preclinical model of post-surgery secondary bone healing for subtrochanteric femoral fracture based on fuzzy interpretations
P Nag, S Chanda - Plos one, 2022
Related articles All 8 versions",{},e0271061,,,,
The influence of static load and sideways impact fall on extramedullary bone plates used to treat intertrochanteric femoral fracture: a preclinical strength assessment,"Pratik Nag, Bhaskar Borgohain, Kashif Akhtar Ahmed, Pranjal Phukan, Neeraj Kumar, Alireza Borjali, Kartik Mangudi Varadarajan, Souptick Chanda",2022/7/12,Annals of biomedical engineering,,,Springer International Publishing,"Hip fracture accounts for a large number of hospitalizations, thereby causing substantial economic burden. Majority (> 90%) of all hip fractures are associated to sideways fall. Studies on sideways fall usually involve loading at quasi-static or at constant displacement rate, which neglects the physics of actual fall. Understanding femur resonance frequency and associated mode shapes excited by dynamic loads is also critical. Two commercial extramedullary implants, proximal femoral locking plate (PFLP) and variable angle dynamic hip screw (VA-DHS), were chosen to carry out the preclinical assessments on a simulated Evans-I type intertrochanteric fracture. In this study, we hypothesized that the behavior of the implant depends on the loading types—axial static and transverse impact—and a rigid implanted construct will absorb less impact energy for sideways fall. The in silico models were validated using …",0,"The influence of static load and sideways impact fall on extramedullary bone plates used to treat intertrochanteric femoral fracture: a preclinical strength assessment
P Nag, B Borgohain, KA Ahmed, P Phukan, N Kumar… - Annals of biomedical engineering, 2022
Related articles All 4 versions",{},1-18,,,,
Influence of sequential opening/closing of interface gaps and texture density on bone growth over macro-textured implant surfaces using FE based mechanoregulatory algorithm,"Rajdeep Ghosh, Souptick Chanda, Debabrata Chakraborty",2022/7/4,Computer Methods in Biomechanics and Biomedical Engineering,25,9,Taylor & Francis,"Intramedullary implant fixation is achieved through a press-fit between the implant and the host bone. A stronger press-fit between the bone and the prosthesis often introduces damage to the bone canal creating micro-gaps. The aim of the present investigation is to study the influences of simultaneous opening/closing of gaps on bone growth over macro-textured implant surfaces. Models based on textures available on CORAIL and SP-CL hip stems have been considered and 3D finite element (FE) analysis has been carried out in conjunction with mechanoregulation based tissue differentiation algorithm. Additionally, using a full-factorial approach, different combinations (between 5 µm to 15 µm) of sliding and gap distances at the bone-implant interface were considered to understand their combined influences on bone growth. All designs show an elevated fibrous tissue formation (10.96% at 5 µm to 29.38% at …",5,"Influence of sequential opening/closing of interface gaps and texture density on bone growth over macro-textured implant surfaces using FE based mechanoregulatory algorithm
R Ghosh, S Chanda, D Chakraborty - Computer Methods in Biomechanics and Biomedical …, 2022
Cited by 5 Related articles All 7 versions","{'2022': 4, '2023': 1}",985-999,,,,
Neural network (NN) based qualitative assessment of bone growth over textured implant surfaces,"Rajdeep Ghosh, Souptick Chanda, Debabrata Chakraborty",2022/4/22,,,,Springer Nature Singapore,"ImplantsNeural Networks are widely used in the restoration of failed joints and bone fractures across the globe. The success of an orthopaedic intramedullary or extramedullary implants depends considerably on various design parameters. The surface texture on implant surfaces is known to influence primary (mechanical) as well as secondary (biologic fixation) stability. Finite element (FE) based bio-mechanoregulatory schemes were earlier employed while investigating the qualitative trends of bone growthBone growth over implant surfaces. Such in silico methodologies, although an efficient process to assess bone growthBone growth at the bone-implant interface, involve manually intensive modellingModelling owing to large number of design variables and consequently, demand higher computational time. Machine LearningMachine learning (ML) based approaches such as Neural NetworksNeural Networks …",1,"Neural network (NN) based qualitative assessment of bone growth over textured implant surfaces
R Ghosh, S Chanda, D Chakraborty - Advances in Mechanical Engineering and Material …, 2022
Cited by 1 Related articles All 3 versions",{'2022': 1},159-169,,Advances in Mechanical Engineering and Material Science: Select Proceedings of ICAMEMS-2022,,
Precise volumetric quantification of blood (hematoma) in deformable solids/organs: preliminary results based on a proof-of-concept scheme,"Rahul Bhagawati, Suman Hazarika, Cota Navin Gupta, Souptick Chanda",2021/12/9,,,,IEEE,"Excessive bleeding (hemorrhage) is a life-threatening condition and warrants emergency medical care depending on the severity. Although medical imaging can detect the severity of bleeding qualitatively, it is often challenging to quantify posthemorrhagic blood stored in the organ. This study aims to quantify blood volume based on an imaging dataset accurately. For the proof-of-concept (POC) phase, we procured the computed tomography (CT) scan images of liquid-filled containers having varying asymmetrical shapes and solid objects inside them, in the form of Digital Imaging and Communications in Medicine (DICOM) images. These containers contained different amounts of aqueous iodine solution, which provided us with contrast CT scans. Two algorithms based on minimal user input thresholding and slicing technique for volume quantification were conceptualized, and the estimated findings were compared …",0,"Precise volumetric quantification of blood (hematoma) in deformable solids/organs: preliminary results based on a proof-of-concept scheme
R Bhagawati, S Hazarika, CN Gupta, S Chanda - 2021 International Conference on Electrical, Computer …, 2021
Related articles",{},1-4,,,"2021 International Conference on Electrical, Computer and Energy Technologies (ICECET)",
Stress-strain distribution in intact L4-L5 vertebrae under the influence of physiological movements: A finite element (FE) investigation,"Devismita Sanjay, Neeraj Kumar, Souptick Chanda",2021/11/1,IOP Conference Series: Materials Science and Engineering,1206,1,IOP Publishing,"This study is aimed at finding the stress and strain distribution in functional spinal unit of L4-L5 occurring due to physiological body movements under five loading conditions, namely compression, flexion, extension, lateral bending and torsion. To this purpose, 3D finite element (FE) model has been generated using 4-noded unstructured tetrahedral elements considered both for bones and intervertebral disc, and 1D tension-only spring elements for ligaments. The analyses were performed for a compression load of 500 N and for other load cases, a moment of 10 Nm along with a preload of 500 N was applied. The model was validated against in-vitro experimental data obtained from literature and FE analysis data for a range of motion (RoM) corresponding to various loading conditions. The highest stress was predicted in the case of torsion though the angular deformation was highest in case of flexion.",2,"Stress-strain distribution in intact L4-L5 vertebrae under the influence of physiological movements: A finite element (FE) investigation
D Sanjay, N Kumar, S Chanda - IOP Conference Series: Materials Science and …, 2021
Cited by 2 Related articles All 3 versions","{'2022': 1, '2023': 1}",012024,,,,
Qualitative predictions of bone growth over optimally designed macro-textured implant surfaces obtained using NN-GA based machine learning framework,"Rajdeep Ghosh, Souptick Chanda, Debabrata Chakraborty",2021/9/1,Medical Engineering & Physics,95,,Elsevier,"The surface features on implant surface can improve biologic fixation of the implant with the host bone leading to improved secondary (biological) implant stability. Application of finite element (FE) based mechanoregulatory schemes to estimate the amount of bone growth for a wide range of implant surface features is either manually intensive or computationally expensive. This study adopts an integrated approach combining FE, back-propagation neural network (BPNN) and genetic algorithm (GA) based search to evaluate optimum surface macro-textures from three representative implant models so as to enhance bone growth. Initial surface textures chosen for the implant models were based on an earlier investigation. Based on FE predicted dataset, a BPNN was formulated for faster prediction of bone growth. Using the BPNN predicted output, a GA-based search was carried out to maximize bone growth subject …",7,"Qualitative predictions of bone growth over optimally designed macro-textured implant surfaces obtained using NN-GA based machine learning framework
R Ghosh, S Chanda, D Chakraborty - Medical Engineering & Physics, 2021
Cited by 7 Related articles All 3 versions","{'2021': 1, '2022': 4, '2023': 2}",64-75,,,,
Novel Design of Minimal Incision Double Oblique Device for Osteosynthesis (DODO) of Hip: Results of an In-silico Study Based on the Femur Morphometrics of the Northeast (NE …,"Pratik Nag, Bhaskar Borgohain, Souptick Chanda",2021/7,Indian Journal of Orthopaedics,55,Suppl 2,Springer India,"Background
Hip fractures account for a large proportion of hospitalization among the trauma cases. Low cost, simple technique, easy removal, and high rate of the bone union makes extramedullary (EM) fixation techniques a preferred choice. A close-fit bone and plate are essential for the success of such implantation. Various studies have found femur morphometry being related to regional features and social differences. Most of the available commercial implants are developed based on the data of the Caucasian population.
Methods
In the herein study, a novel design, Double Oblique Device for Osteosynthesis of hip (DODO), is proposed while considering the regional morphometry of the Northeast (NE) population of India. This study employs finite element (FE) analysis to compare the biomechanical outcome of the new device with that of proximal femoral locking plate (PFLP) and variable angle dynamic hip …",0,"Novel Design of Minimal Incision Double Oblique Device for Osteosynthesis (DODO) of Hip: Results of an In-silico Study Based on the Femur Morphometrics of the Northeast (NE) Indian population
P Nag, B Borgohain, S Chanda - Indian Journal of Orthopaedics, 2021
Related articles All 5 versions",{},385-394,,,,
Biomechanical design prognosis of two extramedullary fixation devices for subtrochanteric femur fracture: a finite element study,"Pratik Nag, Souptick Chanda",2021/2,Medical & Biological Engineering & Computing,59,,Springer Berlin Heidelberg,"The design rationale of extramedullary fixation for femur fracture has remained a matter of debate in the orthopaedic community. The present work provides a comparative preclinical assessment between two standard fracture fixation techniques: dynamic hip screw (DHS) and proximal femoral locking plate (PFLP), by employing finite element (FE)-based in silico models. The study attempts to evaluate and compare the two implants on following biomechanical behaviours: (1) stress variation on the femur and implant, (2) axial displacement of the fixated femur constructs, (3) postoperative stress shielding and longer term external remodelling of the host bone. We hypothesised that, of the two implants, PFLP has better biomechanical characteristics when used for subtrochanteric femoral fracture (SFF) fixation considering long-term adaptation. A comminuted fracture, simulated as two-part fracture gap of 20 mm …",4,"Biomechanical design prognosis of two extramedullary fixation devices for subtrochanteric femur fracture: a finite element study
P Nag, S Chanda - Medical & Biological Engineering & Computing, 2021
Cited by 4 Related articles All 6 versions","{'2021': 1, '2022': 2, '2023': 1}",271-285,,,,
The influence of macro-textural designs over implant surface on bone on-growth: a computational mechanobiology based study,"Rajdeep Ghosh, Souptick Chanda, Debabrata Chakraborty",2020/9/1,Computers in Biology and Medicine,124,,Pergamon,"The longerterm secondary stability of an uncemented implant depends primarily on the quality and extent of bone in-growth or on-growth at the bone-implant interface. Investigations are warranted to predict the influences of implant macro-textures on bone on-growth pattern. Mechanoregulatory tissue differentiation algorithms can predict such patterns effectively. There is, however, a dearth of volumetric in silico study to assess the influence of macro-textures on bone growth. The present study investigated the influence of macro-textural grooves/ribs on changes in tissue formation at the bone-implant interface by carrying out a 3D finite element (FE) analysis. Three distinct macro-textures, loosely based on commercially viable hip stem models, were comparatively assessed for varying levels of interfacial micromotion. The study predicted elevated fibrogenesis and chondrogenesis, followed by a suppressed …",11,"The influence of macro-textural designs over implant surface on bone on-growth: a computational mechanobiology based study
R Ghosh, S Chanda, D Chakraborty - Computers in Biology and Medicine, 2020
Cited by 11 Related articles All 3 versions","{'2021': 2, '2022': 6, '2023': 2}",103937,,,,
