Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Source,Book,Conference,Institution
A comparative assessment of two designs of hip stem using rule-based simulation of combined osseointegration and remodelling,"Souptick Chanda, Kaushik Mukherjee, Sanjay Gupta, Dilip K Pratihar",2019/11/27,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",,doi/10.1177/0954411919890998,SAGE,"The stem–bone interface of cementless total hip arthroplasty undergoes an adaptive process of bone ingrowth until the two parts become osseointegrated. Another important phenomenon associated with aseptic loosening of hip stem is stress-shielding induced adverse bone remodelling. The objective of this study was to preclinically assess the relative performances of two distinct designs of hip stems by addressing the combined effect of bone remodelling and osseointegration, based on certain rule-based criteria obtained from the literature. Premised upon non-linear finite element analyses of patient-specific implanted femur models, the study attempts to ascertain in silico outcome of the hip stem designs based on an evolutionary interfacial condition, and to further comment on the efficacy of the rule-based technique on the prediction of peri-prosthetic osseointegration. One of the two hip stem models was a trade …",11,"A comparative assessment of two designs of hip stem using rule-based simulation of combined osseointegration and remodelling
S Chanda, K Mukherjee, S Gupta, DK Pratihar - Proceedings of the Institution of Mechanical Engineers …, 2020
Cited by 11 Related articles All 2 versions","{'2020': 1, '2021': 4, '2022': 4, '2023': 2}",1-11,,,,
MECHANOBIOLOGY-BASED MICROSCALE STUDY OF INFLUENCE OF SURFACE TEXTURE DESIGN ON PERIACETABULAR BONE INGROWTH,"R Ghosh, S Chanda, D Chakraborty",2019/4,Orthopaedic Proceedings,101,SUPP_5,The British Editorial Society of Bone & Joint Surgery,"Introduction
Uncemented porous coated acetabular components have gained more research emphasis in recent years compared to their cemented counterparts, largely owing to the natural biological fixation they offer. Nevertheless, sufficient peri-prosthetic bone ingrowth is essential for long-term fixation of such uncemented acetabular components. The phenomenon of bone ingrowth can be predicted based on mechanoregulatory principles of primary bone fracture healing. Literature review reveals that the surface texture of implant plays a major role in implant-bone fixation mechanism. A few insilico models based on 2-D microscale finite elements (FE) were reported in literatures to predict the influence of surface texture designs on peri-prosthetic bone ingrowth. However, most of these studies were based on FE models of dental implants. The primary objective of this study, therefore, is to mechanobiologically …",0,"MECHANOBIOLOGY-BASED MICROSCALE STUDY OF INFLUENCE OF SURFACE TEXTURE DESIGN ON PERIACETABULAR BONE INGROWTH
R Ghosh, S Chanda, D Chakraborty - Orthopaedic Proceedings, 2019",{},41-41,,,,
Shape optimization of femoral implant based on a machine learning framework and assessment of the optimum design using evolutionary interface,"S Chanda, S Gupta, DK Pratihar",2016/5/6,,,,Orthopaedic Proceedings,"The success of a cementless Total Hip Arthroplasty (THA) depends not only on initial micromotion, but also on long-term failure mechanisms, e.g., implant-bone interface stresses and stress shielding. Any preclinical investigation aimed at designing femoral implant needs to account for temporal evolution of interfacial condition, while dealing with these failure mechanisms. The goal of the present multi-criteria optimization study was to search for optimum implant geometry by implementing a novel machine learning framework comprised of a neural network (NN), genetic algorithm (GA) and finite element (FE) analysis. The optimum implant model was subsequently evaluated based on evolutionary interface conditions.
The optimization scheme of our earlier study [1] has been used here with an additional inclusion of an NN to predict the initial fixation of an implant model. The entire CAD based parameterization …",0,"SHAPE OPTIMIZATION OF FEMORAL IMPLANT BASED ON A MACHINE LEARNING FRAMEWORK AND ASSESSMENT OF THE OPTIMAL DESIGN USING EVOLUTIONARY INTERFACE
S Chanda, S Gupta, DK Pratihar - Orthopaedic Proceedings, 2016
All 3 versions",{},,,,"28th Annual Congress: International Society for Technology in Arthroplasty, Vienna, Austria",
Effects of interfacial conditions on shape optimization of cementless hip stem: an investigation based on a hybrid framework,"Souptick Chanda, Sanjay Gupta, Dilip Kumar Pratihar",2016/5,Structural and Multidisciplinary Optimization,53,,Springer Berlin Heidelberg,"The typical biomechanical failure mechanisms associated with cementless Total Hip Arthroplasty (THA) are initial micromotion, stress shielding and interface stresses. While the former is a short-term load-induced failure criterion affiliated with the post-surgery rehabilitation period, the other two mechanisms are relatively longer term phenomena. At immediate post-operative stage, biologic fixation through bone ingrowth is yet to occur and implant stability is determined by the initial micromotion. However, by the time the other failure mechanisms become prominent, sufficient bone ingrowth already prevails and consequently, the implant-bone interface characteristic changes. Therefore, any preclinical simulation aimed at designing femoral implants needs to account for this dual interfacial behaviour while dealing with these failure objectives. The present study implements a hybrid framework comprised of …",8,"Effects of interfacial conditions on shape optimization of cementless hip stem: an investigation based on a hybrid framework
S Chanda, S Gupta, DK Pratihar - Structural and Multidisciplinary Optimization, 2016
Cited by 8 Related articles All 6 versions",{},1143-1155,,,,
A combined neural network and genetic algorithm based approach for optimally designed femoral implant having improved primary stability,"Souptick Chanda, Sanjay Gupta, Dilip Kumar Pratihar",2016/1/1,Applied soft computing,38,,Elsevier,"Excessive implant-bone relative micromotion is detrimental to both primary as well as long-term stability of a hip stem in cementless total hip arthroplasty (THA). The shape and geometry of the implant are known to influence the resulting post-operative micromotion. Finite element (FE)-based design evaluations are manually intensive and computationally expensive, especially when a large number of designs need to be evaluated for an optimum outcome. This study presents a predictive mathematical model based on back-propagation neural network (BPNN) to relate femoral stem design parameters to the post-operative implant-bone micromotion, with no recourse to tedious nonlinear FE analysis. The characterization of the design parameters were based on our earlier study on shape optimization of femoral implant. The BPNN led to faster prediction of the implant-bone relative micromotion as compared to the FE …",34,"A combined neural network and genetic algorithm based approach for optimally designed femoral implant having improved primary stability
S Chanda, S Gupta, DK Pratihar - Applied soft computing, 2016
Cited by 34 Related articles All 4 versions","{'2016': 5, '2017': 3, '2018': 6, '2019': 3, '2020': 4, '2021': 4, '2022': 5, '2023': 3}",296-307,,,,
Full-field in vitro measurements and in silico predictions of strain shielding in the implanted femur after total hip arthroplasty,"Souptick Chanda, Alexander Dickinson, Sanjay Gupta, Martin Browne",2015/8,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",229,8,SAGE Publications,"Alterations in bone strain as a result of implantation may contribute towards periprosthetic bone density changes after total hip arthroplasty. Computational models provide full-field strain predictions in implant–bone constructs; however, these predictions should be verified using experimental models wherever it is possible. In this work, finite element predictions of surface strains in intact and implanted composite femurs were verified using digital image correlation. Relationships were sought between post-implantation strain states across seven defined Gruen zones and clinically observed longer-term bone density changes. Computational predictions of strain distributions in intact and implanted femurs were compared to digital image correlation measurements in two regions of interest. Regression analyses indicated a strong linear correlation between measurements and predictions (R = 0.927 intact, 0.926 …",23,"Full-field in vitro measurements and in silico predictions of strain shielding in the implanted femur after total hip arthroplasty
S Chanda, A Dickinson, S Gupta, M Browne - Proceedings of the Institution of Mechanical Engineers …, 2015
Cited by 23 Related articles All 9 versions","{'2016': 3, '2017': 4, '2018': 5, '2019': 2, '2020': 4, '2021': 2, '2022': 3}",549-559,,,,
A genetic algorithm based multi-objective shape optimization scheme for cementless femoral implant,"Souptick Chanda, Sanjay Gupta, Dilip Kumar Pratihar",2015/3/1,Journal of Biomechanical Engineering,137,3,American Society of Mechanical Engineers,"The shape and geometry of femoral implant influence implant-induced periprosthetic bone resorption and implant-bone interface stresses, which are potential causes of aseptic loosening in cementless total hip arthroplasty (THA). Development of a shape optimization scheme is necessary to achieve a trade-off between these two conflicting objectives. The objective of this study was to develop a novel multi-objective custom-based shape optimization scheme for cementless femoral implant by integrating finite element (FE) analysis and a multi-objective genetic algorithm (GA). The FE model of a proximal femur was based on a subject-specific CT-scan dataset. Eighteen parameters describing the nature of four key sections of the implant were identified as design variables. Two objective functions, one based on implant-bone interface failure criterion, and the other based on resorbed proximal bone mass fraction (BMF …",26,"A genetic algorithm based multi-objective shape optimization scheme for cementless femoral implant
S Chanda, S Gupta, D Kumar Pratihar - Journal of Biomechanical Engineering, 2015
Cited by 26 Related articles All 6 versions","{'2016': 7, '2017': 4, '2018': 1, '2019': 5, '2020': 4, '2021': 1, '2022': 2, '2023': 1}",034502,,,,
Shape Optimization of Cementless Femoral Implant Using Genetic Algorithms,Souptick Chanda,2015,,,,,"Failure mechanisms, such as implant-induced adverse bone remodelling, excessive implant-bone interface stresses and lack of primary stability, are known to affect the outcome of cementless Total Hip Arthroplasty (THA). These failure mechanisms are reported to be influenced by the design of femoral implant. Employing shape optimization as pre-clinical design tool, stem geometries can be evaluated based on these failure objectives. However, the biomechanical causes of failure may sometimes be mutually conflicting. Therefore, it is necessary to implement multiobjective shape optimization scheme to tackle the design conflict and subsequently, attain tradeoff designs by compromising on the design objectives. An experimental study using digital image correlation (DIC) was first carried out in order to develop and validate reasonably accurate 3-D finite element (FE) models of intact and implanted femurs. The FE models of the intact and implanted femurs were developed by replicating the orientation, loading and boundary conditions of the tested specimens. A close agreement between measured and predicted strains confirmed the suitability of the FE model generation procedure. Using a patient-specific femur and an initial design of TriLock (DePuy) hip stem, a fully-automated 3-D multi-objective shape optimization scheme, comprising of a parameterized CAD module, FE analysis and genetic algorithms (GA) was developed, based on minimization of bone remodelling and interface stresses. The optimal stem geometries (OSGs) were found to be narrower and more bone preserving as compared to the initial (TriLock) design. A back …",0,"Shape Optimization of Cementless Femoral Implant Using Genetic Algorithms
S Chanda - 2015",{},,,,,"IIT, Kharagpur"
Towards an Optimally Designed Cementless Hip Stem: a Multiobjective Genetic Algorithm based Approach,"S Chanda, S Gupta, DK Pratihar",2014/10,,,,,,0,"Towards an Optimally Designed Cementless Hip Stem: a Multi-objective Genetic Algorithm based Approach*
S Chanda, S Gupta, DK Pratihar
All 2 versions",{},,,,"12th International Symposium on Computational Methods in Biomechanics and Biomedical Engineering, Amsterdam",
Prediction of Bone Remodeling after Total Hip Arthroplasty Using Digital Image Correlation on an Analogue Bone Model,"S Chanda, AS Dickinson, S Gupta, H Ozturk, M Browne",2014/7,,,,,"Digital Image Correlation (DIC) is a data-rich tool for measurement of full-field strain on complex geometries like human bone. Understanding how bone strain is influenced by implantation may help explain the cause of periprosthetic bone adaptation [1]. The objective of this study was to measure surface strain data in intact and implanted composite femurs using DIC, and to assess whether it is related to clinically observed bone density changes.
Composite left-femurs (Sawbone AB) were used to assess intact and implanted strain under representative gait loading. The implanted case used an uncemented hip stem (Furlong HAC). A random speckle pattern was applied on the surface of both femurs. The specimens were potted and fixed to the base of an Instron5569 electromechanical testing machine. The undeformed and deformed speckle pattern was photographed using 2MP dual digital cameras, ie before and after application of a 700N static force applied on the femoral head. VIC 3D software (Correlated Solutions Inc., USA) was then used to calculate the strain fields. One-to-one comparison of strains generated in the intact and implanted femur was performed. Five repeat measurements at each location produced an experimental error of<±53µε. The quantitative difference in von Mises strains between the intact and implanted femurs was compared to clinically observed bone remodelling in 7 defined Gruen zones (GZ) in a similar implant system.",2,"Prediction of Bone Remodeling after Total Hip Arthroplasty Using Digital Image Correlation on an Analogue Bone Model
S Chanda, AS Dickinson, S Gupta, H Ozturk, M Browne - 7th World Congress of Biomechanics, Boston, USA, 2014
Cited by 2 Related articles","{'2018': 1, '2019': 1}",,,,"7th World Congress of Biomechanics, Boston",
Shape Optimization of Cementless Hip Prosthesis,"S Chanda, S Gupta, DK Pratihar",2014/7,,,,,,0,,{},,,,"7th World Congress of Biomechanics, Boston",
Chemical analyses of the pollen grains of Lantana camara and Solanum sisymbrifolium,"S Gupta, S Chanda",1989,,,,BBS,"Total carbohydrate, lipid and protein was estimated along with free and bound amino acids, fatty acids and soluble protein. The constitutional difference between the non-allergenic and allergenic pollen grains is mainly quantitative. Qualitatively, however, they appear to be more or less the same.",0,"Chemical analyses of the pollen grains of Lantana camara and Solanum sisymbrifolium
S Gupta, S Chanda - … Botanical Conference, Chittagong (Bangladesh), 18-19 …, 1989",{},,,,"6. National Botanical Conference, Chittagong (Bangladesh), 18-19 Jan 1989",
Combined influence of material properties of bone and implant on bone growth over macro-textured implant surface,"Rajdeep Ghosh, Souptick Chanda, Debabrata Chakraborty",,,,,,"Methods: Using coupled linear elastic eight-noded hexahedral finite elements, 3D FE models of macro-textured implant-bone interface based on discernible textures on CORAIL and SP-CL femoral stems were generated in ANSYS V14. 5 FE software (Ansys Inc.). The host bone, implant, and granulation tissue were all considered to be linearly elastic, homogenous, and isotropic. The Young's moduli of cancellous bone was considered 5.3 GPa for the first instance and 7.8 GPa in the second instance and that of Titanium-alloy (Ti-6Al-4V) implant was 113 GPa and Cobalt-alloy (Co-Cr) implant was 210 GPa. The modulus of granulation tissue was considered 1 MPa initially. The Poisson's ratio for bone and implant was set to 0.3, whereas the granulation tissue Poisson's ratio was set to 0.167. All of the model's interfaces were considered perfectly bound. MSCs were thought to be abundant towards the bone surface. Using a numerical framework developed earlier (Ghosh et al., 2020); bone growth percentage was predicted over 120 iterations (120 post-operative days) by updating material properties in the interface tissue iteratively through a tissue differentiation algorithm that works on the principle of mechanotransduction driven by local mechanical stimuli.
Results and Discussion: The present study focusses on the combined influence of material properties of cancellous bone and metallic implant on bone growth over macro-textured implant surfaces. Results from present study show that there is very insignificant variation in bone growth with wide variation in implant elastic modulus as well as cancellous bone property for both the models. Moreover …",0,"Combined influence of material properties of bone and implant on bone growth over macro-textured implant surface
R Ghosh, S Chanda, D Chakraborty
Related articles",{},,,,,
Biomechanical assessment of bone growth over femoral implant with proximal macro-textured surfaces,"Rajdeep Ghosh, Ankan Hazra, Souptick Chanda, Debabrata Chakraborty",,,,,,"Methods: A 3D finite element (FE) model of the left proximal femur was developed from a CT-scan dataset (512 x 512 pixels, pixel size of 0.707 mm and slice thickness of 0.625 mm) of a female patient (35 years, mass 58 kg) using medical image processing program and importing it to ANSYS (v2020 R2) FE software. The implant was developed using SolidWorks® software. Osteotomy of the bone and virtual implantation (Fig. 1a) was performed in Rhinoceros v7. 0. The bone was considered linear elastic, isotropic with site-specific heterogeneity (Fig. 1b) extracted from the CT images using Bonemat v3. 2. Implant material is high-nitrogen stainless steel alloy M30NW (Aubert & Duval, France) with Young’s modulus, E= 195 GPa. A layer of granulation tissue surrounding the implant is modelled with Young’s modulus, E= 1 MPa. The Poisson’s ratios of bone, implant and granulation tissue are considered 0.3, 0.3 and 0.167 respectively. The distal end of the femur was constrained in all directions while a hip contact force of 1664.24 N [2] was applied at the top surface of the femoral component. FE analysis of the femur-implant system (Fig. 1a, 1b) was carried out and bone growth was predicted by a previously developed [1] mechanoregulation based tissue differentiation algorithm.
Results: Results from the present study report the variation in the amount of bone formation at different regions of the macro-textures with significant variation in the amount of bone growth (~ 5.6% to~ 14%) towards the trochanteric region which favoured softer fibro-cartilage as compared to distal regions of the textured surface.
Discussion: The present research thus infers that …",0,"Biomechanical assessment of bone growth over femoral implant with proximal macro-textured surfaces
R Ghosh, A Hazra, S Chanda, D Chakraborty
Related articles",{},,,,,
A comparison of Proximal Femoral Locking Plate (PFLP) and Dynamic Hip Screw (DHS) based on the effect of stress shielding in subtrochanteric femoral fracture.,"Pratik Nag, Souptick Chanda",,,,,,"Objective:
The primary aim of this study was to understand the load transfer mechanism in subtrochanteric femur fracture fixated with PFLP and DHS implant under physiological loading (F= 3kN). Also to find out the better fixation device between PFLP and DHS with respect to stress shielding.",0,"A comparison of Proximal Femoral Locking Plate (PFLP) and Dynamic Hip Screw (DHS) based on the effect of stress shielding in subtrochanteric femoral fracture.
P Nag, S Chanda
Related articles",{},,,,,
Proximal Femoral Locking Plate: The Effect of Interface Conditions on Implant-induced Stress Shielding,"Pratik Nag, Souptick Chanda",,Stainless steel,193,,,"Proximal femoral locking plate (PFLP) is an extramedullary implant used in fixation of subtrochanteric and intertrochanteric femoral fracture. However, the fact whether PFLP is better than other fixation methods remains debatable. One important biomechanical parameter that affects adverse bone adaptation is the implant induced stress shielding of bone. The primary aim of this study was to understand the load transfer mechanism in a subtrochanteric femur fracture fixated with PFLP implant under physiological loading (F= 3kN). The 3D finite element (FE) models of the implanted and the intact femur were generated using the manufacturer supplied CAD model of a left femur. After analysis, it was found that the percentage stress shielding in the calcar cortical region of the bonded and the contact model was 24.5% and 49.18%, respectively. The maximum displacement for the intact model was~ 0.74 mm and the same for the bonded and contact model were found to be~ 0.685 mm and~ 0.687 mm, respectively. The maximum stress in the plate was predicted to be 54.56 kPa for the bonded model and that for the contact model was 42.78 kPa. In screws, the maximum stress values for the bonded and the contact models were 138.33 kPa and 107.96 kPa, respectively. It was also observed that the maximum stresses in both the cortical and the cancellous bone of the intact model were lesser compared to that of the respective bones in bonded and contact models.",0,"Proximal Femoral Locking Plate: The Effect of Interface Conditions on Implant-induced Stress Shielding
P Nag, S Chanda - Stainless steel
Related articles",{},0.3,,,,
A Numerical Study on the Possibilities of Cemented Short-Stem Ceramic Femoral Resurfacing Implant,"Kaushik Mukherjee, Bidyut Pal, Souptick Chanda, Debatri Ghosh, Sanjay Gupta",,,,,,"Short-stem resurfaced femoral implant has been found to be a promising alternative to the long-stem design, due to reduced risk of initial femoral neck fracture and more physiological load transfer. he clinical effect of metal ion release and continued concerns regarding the use of Metal-on-Metal bearing warrants an investigation of an alternative material, like ceramics, as a low-wear bearing couple. he objective of this study was to investigate the effect of a short-stem ceramic resurfacing implant, in comparison with the metallic design, with regard to stress-strain related failure mechanisms and bone adaptation. he maximum principal (tensile) stress in the ceramic implant, occurring at the stem-cup junction, was found to increase from 73 MPa at the post-operative condition to 86 MPa after bone remodelling. However, the tensile stresses generated in the cement mantle were low, around 3 MPa. he elevated bone strains occurring at the proximal femoral neck-cup junction region were progressively reduced with bone remodelling. Bone density distribution inside the femoral head was found to be similar to those for the metallic short-stem design. Although bone resorption, 50− 90% reduction in bone density was predominantly observed at the supero-proximal femoral head, bone apposition, 10–30% increase in bone density occurred in the other regions of the femoral head. Apart from better wear resistivity and chemically inert nature of ceramics, it appears from this study that alumina ceramic is a viable alternative to the metallic design.",0,"A Numerical Study on the Possibilities of Cemented Short-Stem Ceramic Femoral Resurfacing Implant
K Mukherjee, B Pal, S Chanda, D Ghosh, S Gupta
Related articles All 3 versions",{},,,,,
